country,tonnes_plastic_per_day,kg_person_day
China,36485.60727215971,0.09191444416769999
Indonesia,14564.462859832005,0.04707370686641999
Philippines,9550.757681690638,0.061844249844
India,4768.648719111747,0.00876478720447
Nigeria,4565.0700631866985,0.084901814299085
Thailand,4393.488752158656,0.10811642239979999
Bangladesh,4106.2421815849175,0.030435086577945004
Egypt,3978.6851706473385,0.12180386498570499
Malaysia,3702.4591763267904,0.1121273834954
Pakistan,2331.4423689251703,0.09027726233466501
South Africa,2008.6077534238448,0.13380982194799998
Brazil,1952.8795735089868,0.017290142296569996
Turkey,1748.1807738529196,0.03910760016897
Morocco,1392.7523457507473,0.04910355157950001
Senegal,1360.3209059755122,0.08590705995532501
"Korea, North",1253.3348897706105,0.04811864195519997
Yemen,935.7380336962856,0.07662695867340497
United States,838.6893076104166,0.006682200002799842
Somalia,535.7962202706753,0.046584840323399976
Mexico,458.54201075174507,0.012259563822320003
Ecuador,438.9089316643583,0.046824433390489986
Japan,438.85248034042513,0.00340290000253516
Colombia,372.80325126509206,0.033677063098200004
Cuba,371.3472746696632,0.021908634347654995
Venezuela,351.4739450273367,0.01741948822005
Nicaragua,347.7451383886399,0.06640767020195
Guatemala,341.45376191664747,0.10485448307999999
Russia,287.2682513873313,0.020463176415
United Kingdom,221.52575299327918,0.004278100017369085
Fiji,164.72932557912844,0.15059043177464995
Costa Rica,161.62342754772718,0.04651143146016002
Taiwan,151.163385264393,0.00563922417975
Spain,143.54068998552393,0.005516700107851484
"Korea, South (Republic of Korea)",118.50839121530426,9.233090438225091E-4
Italy,106.60022331183347,0.0026537000210969156
Maldives,98.09882950011065,0.21962139537967995
Germany,88.4328460247513,0.009684900015641115
Saudi Arabia,88.22916202921593,0.015669193038849998
Chile,88.10363082557411,0.010602019406879996
Israel,64.6823751679867,0.007798158971819999
Poland,58.29963720951177,0.013145037569399994
Australia,52.79727451945369,0.002207700000144605
Greece,44.999752136332674,0.0039800001886519994
Cape Verde,38.11271224354523,0.049036247065749994
Canada,30.99583785293592,0.0018407000010768097
New Zealand,28.49732160712466,0.006587200093538238
Norway,24.933030222328956,0.00557200000000006
Belgium,11.61874163564874,0.001582700001068323
Sweden,10.13116129011768,9.4990000018903E-4
Iceland,2.029843715829503,0.005600400061324382
