country,mismanaged_plastic_waste_kg_person_day_7
Maldives,0.21962139537967995
Fiji,0.15059043177464998
South Africa,0.13380982194799998
Malaysia,0.1121273834954
Thailand,0.10811642239979999
China,0.09191444416769999
Nicaragua,0.06640767020195001
Philippines,0.061844249844
Morocco,0.04910355157950002
Costa Rica,0.04651143146016002
Russia,0.020463176415000003
Brazil,0.017290142296569992
Mexico,0.012259563822320005
United States,0.006682200002799841
Norway,0.0055720000000000595
Spain,0.005516700107851483
United Kingdom,0.004278100017369084
Italy,0.0026537000210969156
Canada,0.0018407000010768097
