country,tonnes_plastic_per_day
China,36485.60727215971
Philippines,9550.757681690638
India,4768.648719111747
Nigeria,4565.0700631866985
Thailand,4393.488752158656
Malaysia,3702.4591763267904
South Africa,2008.6077534238448
Brazil,1952.8795735089868
Morocco,1392.7523457507473
United States,838.6893076104166
Somalia,535.7962202706753
Ukraine,496.1003862664612
Mexico,458.54201075174507
Colombia,372.80325126509206
Nicaragua,347.7451383886399
Russia,287.2682513873313
United Kingdom,221.52575299327918
Fiji,164.72932557912844
Costa Rica,161.62342754772718
Spain,143.54068998552393
Italy,106.60022331183347
Maldives,98.09882950011065
Germany,88.4328460247513
Saudi Arabia,88.22916202921593
Chile,88.10363082557411
Israel,64.6823751679867
Australia,52.79727451945369
Canada,30.99583785293592
Norway,24.933030222328956
Sweden,10.13116129011768
